trial_index;video_name;condition;bin;sample;success;failure_type;err_no_distractors;err_no_target;err_wrong_manip;err_new_target_id;err_new_target_unid;err_extra_distractors;err_font_change;err_rotation;err_movement;err_enlarge_target;err_enlarge_distractors;err_target_centre;err_circular_motion;err_merging;err_other;err_id_change_before;err_id_change_after;err_vanishing;fidelity_score_total;fidelity_omission;fidelity_numeric;fidelity_temporal;fidelity_physical_vanishing;notes;coder;timestamp
41;2Among5ConjRed_Bin1_Sample6.mp4;2Among5ConjRed;1;6;1;;0;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T10:06:11.252Z
42;2Among5ConjRed_Bin2_Sample1.mp4;2Among5ConjRed;2;1;0;ambiguity;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T10:07:36.895Z
43;2Among5ConjRed_Bin2_Sample2.mp4;2Among5ConjRed;2;2;0;new_generation;0;0;0;1;1;1;1;1;0;1;0;0;0;0;1;0;0;0;7;0;3;4;0;;ER_01;2026-03-31T10:08:40.808Z
44;2Among5ConjRed_Bin2_Sample3.mp4;2Among5ConjRed;2;3;0;new_generation;0;0;0;1;0;0;1;1;1;1;0;1;1;0;0;0;0;0;7;0;1;6;0;circled Blue number;ER_01;2026-03-31T10:10:23.129Z
45;2Among5ConjRed_Bin2_Sample4.mp4;2Among5ConjRed;2;4;0;new_generation;0;0;0;1;1;1;1;0;1;1;0;0;1;0;0;0;0;1;8;0;3;4;1;;ER_01;2026-03-31T10:12:17.077Z
46;2Among5ConjRed_Bin2_Sample5.mp4;2Among5ConjRed;2;5;0;new_generation;0;0;0;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;5;0;2;3;0;;ER_01;2026-03-31T10:12:51.484Z
47;2Among5ConjRed_Bin2_Sample6.mp4;2Among5ConjRed;2;6;0;new_generation;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;9;0;3;6;0;;ER_01;2026-03-31T10:14:07.286Z
48;2Among5ConjRed_Bin3_Sample1.mp4;2Among5ConjRed;3;1;0;new_generation;0;0;0;1;1;0;1;1;0;1;0;0;0;0;1;0;0;1;7;0;2;4;1;;ER_01;2026-03-31T10:14:56.439Z
49;2Among5ConjRed_Bin3_Sample2.mp4;2Among5ConjRed;3;2;0;new_generation;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;5;0;3;2;0;;ER_01;2026-03-31T10:15:30.118Z
50;2Among5ConjRed_Bin3_Sample3.mp4;2Among5ConjRed;3;3;0;new_generation;0;0;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;8;1;3;3;1;;ER_01;2026-03-31T10:17:40.139Z
51;2Among5ConjRed_Bin3_Sample4.mp4;2Among5ConjRed;3;4;0;new_generation;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;6;0;2;3;1;;ER_01;2026-03-31T10:18:30.250Z
52;2Among5ConjRed_Bin3_Sample5.mp4;2Among5ConjRed;3;5;1;;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;0;;ER_01;2026-03-31T10:19:30.162Z
53;2Among5ConjRed_Bin3_Sample6.mp4;2Among5ConjRed;3;6;0;new_generation;0;0;0;1;1;1;1;0;0;1;1;0;1;0;0;0;0;0;7;0;3;4;0;;ER_01;2026-03-31T10:20:49.451Z
54;2Among5ConjRed_Bin4_Sample1.mp4;2Among5ConjRed;4;1;0;new_generation;0;0;0;1;1;1;1;0;1;1;0;0;0;0;0;0;0;0;6;0;3;3;0;;ER_01;2026-03-31T10:21:42.675Z
55;2Among5ConjRed_Bin4_Sample2.mp4;2Among5ConjRed;4;2;0;new_generation;0;0;0;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;7;0;3;4;0;;ER_01;2026-03-31T10:23:54.183Z
56;2Among5ConjRed_Bin4_Sample3.mp4;2Among5ConjRed;4;3;0;new_generation;0;0;0;1;1;1;1;1;1;1;0;1;0;0;0;0;1;0;9;0;3;5;1;wrong new target generated (first 5);ER_01;2026-03-31T10:25:46.033Z
57;2Among5ConjRed_Bin4_Sample4.mp4;2Among5ConjRed;4;4;0;new_generation;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;7;0;2;5;0;;ER_01;2026-03-31T10:26:49.833Z
58;2Among5ConjRed_Bin4_Sample5.mp4;2Among5ConjRed;4;5;0;new_generation;0;0;0;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;6;0;3;3;0;;ER_01;2026-03-31T10:27:29.616Z
59;2Among5ConjRed_Bin4_Sample6.mp4;2Among5ConjRed;4;6;0;location;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;3;1;0;;ER_01;2026-03-31T10:29:02.289Z
60;2Among5ConjRed_Bin5_Sample1.mp4;2Among5ConjRed;5;1;0;new_generation;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;ER_01;2026-03-31T10:29:39.831Z
61;2Among5ConjRed_Bin5_Sample2.mp4;2Among5ConjRed;5;2;0;new_generation;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;2;0;0;2;0;;ER_01;2026-03-31T10:30:15.687Z
62;2Among5ConjRed_Bin5_Sample3.mp4;2Among5ConjRed;5;3;0;new_generation;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;5;0;3;2;0;;ER_01;2026-03-31T10:30:55.743Z
63;2Among5ConjRed_Bin5_Sample4.mp4;2Among5ConjRed;5;4;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T10:31:28.550Z
64;2Among5ConjRed_Bin5_Sample5.mp4;2Among5ConjRed;5;5;0;new_generation;0;0;0;1;1;1;1;1;0;1;0;0;1;0;0;0;0;1;8;0;3;4;1;;ER_01;2026-03-31T10:32:17.903Z
65;2Among5ConjRed_Bin5_Sample6.mp4;2Among5ConjRed;5;6;0;new_generation;0;0;1;0;0;0;1;1;0;1;0;1;0;0;0;0;0;1;6;1;0;4;1;;ER_01;2026-03-31T10:33:21.902Z
66;2Among5ConjRed_Bin6_Sample1.mp4;2Among5ConjRed;6;1;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;1;1;0;1;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T10:35:16.583Z
67;2Among5ConjRed_Bin6_Sample2.mp4;2Among5ConjRed;6;2;0;new_generation;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T10:35:58.776Z
68;2Among5ConjRed_Bin6_Sample3.mp4;2Among5ConjRed;6;3;0;new_generation;0;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;6;1;1;4;0;;ER_01;2026-03-31T10:37:12.406Z
69;2Among5ConjRed_Bin6_Sample4.mp4;2Among5ConjRed;6;4;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T10:38:48.204Z
70;2Among5ConjRed_Bin6_Sample5.mp4;2Among5ConjRed;6;5;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T10:38:48.916Z
71;2Among5ConjRed_Bin6_Sample6.mp4;2Among5ConjRed;6;6;0;new_generation;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T10:39:14.157Z
72;2Among5NoColour_Bin1_Sample1.mp4;2Among5NoColour;1;1;1;;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T10:39:54.780Z
73;2Among5NoColour_Bin1_Sample2.mp4;2Among5NoColour;1;2;1;;0;0;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;10;1;1;7;1;;ER_01;2026-03-31T10:41:22.436Z
74;2Among5NoColour_Bin1_Sample3.mp4;2Among5NoColour;1;3;1;;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T10:41:59.691Z
75;2Among5NoColour_Bin1_Sample4.mp4;2Among5NoColour;1;4;0;ambiguity;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;2;0;;ER_01;2026-03-31T10:42:56.540Z
76;2Among5NoColour_Bin1_Sample5.mp4;2Among5NoColour;1;5;1;;0;0;0;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T10:43:10.948Z
77;2Among5NoColour_Bin1_Sample6.mp4;2Among5NoColour;1;6;0;new_generation;0;0;0;1;0;1;1;0;1;1;0;1;1;0;0;0;0;1;8;0;2;5;1;;ER_01;2026-03-31T10:43:54.931Z
78;2Among5NoColour_Bin2_Sample1.mp4;2Among5NoColour;2;1;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;4;0;2;2;0;;ER_01;2026-03-31T10:44:26.818Z
79;2Among5NoColour_Bin2_Sample2.mp4;2Among5NoColour;2;2;0;new_generation;0;0;0;0;0;1;1;0;1;1;1;0;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T10:45:13.460Z
80;2Among5NoColour_Bin2_Sample3.mp4;2Among5NoColour;2;3;0;new_generation;0;0;0;0;0;1;1;0;0;1;0;0;1;1;1;0;0;0;6;0;1;5;0;;ER_01;2026-03-31T10:46:21.064Z
81;2Among5NoColour_Bin2_Sample4.mp4;2Among5NoColour;2;4;0;new_generation;0;0;1;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;9;1;2;5;1;;ER_01;2026-03-31T10:47:21.347Z
82;2Among5NoColour_Bin2_Sample5.mp4;2Among5NoColour;2;5;0;new_generation;0;0;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;5;0;2;3;0;;ER_01;2026-03-31T10:47:44.706Z
83;2Among5NoColour_Bin2_Sample6.mp4;2Among5NoColour;2;6;0;location;0;0;1;1;0;1;1;1;0;1;0;1;1;0;0;1;0;1;10;1;2;5;2;;ER_01;2026-03-31T10:49:44.049Z
84;2Among5NoColour_Bin3_Sample1.mp4;2Among5NoColour;3;1;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;0;1;7;0;2;4;1;;ER_01;2026-03-31T10:51:18.961Z
85;2Among5NoColour_Bin3_Sample2.mp4;2Among5NoColour;3;2;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;0;1;1;0;0;0;0;6;0;2;4;0;;ER_01;2026-03-31T10:52:19.609Z
86;2Among5NoColour_Bin3_Sample3.mp4;2Among5NoColour;3;3;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;1;1;1;0;0;0;0;7;0;2;5;0;;ER_01;2026-03-31T10:53:12.408Z
87;2Among5NoColour_Bin3_Sample4.mp4;2Among5NoColour;3;4;0;new_generation;0;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;5;0;3;2;0;;ER_01;2026-03-31T10:53:47.616Z
88;2Among5NoColour_Bin3_Sample5.mp4;2Among5NoColour;3;5;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;4;0;2;2;0;;ER_01;2026-03-31T10:54:18.295Z
89;2Among5NoColour_Bin3_Sample6.mp4;2Among5NoColour;3;6;1;;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;;ER_01;2026-03-31T10:54:36.048Z
90;2Among5NoColour_Bin4_Sample1.mp4;2Among5NoColour;4;1;0;new_generation;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;3;0;0;2;1;;ER_01;2026-03-31T10:55:15.416Z
91;2Among5NoColour_Bin4_Sample2.mp4;2Among5NoColour;4;2;0;new_generation;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;4;0;2;2;0;;ER_01;2026-03-31T10:55:55.751Z
92;2Among5NoColour_Bin4_Sample3.mp4;2Among5NoColour;4;3;0;new_generation;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T10:56:14.846Z
93;2Among5NoColour_Bin4_Sample4.mp4;2Among5NoColour;4;4;0;new_generation;0;0;0;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;8;0;2;6;0;;ER_01;2026-03-31T10:57:10.152Z
94;2Among5NoColour_Bin4_Sample5.mp4;2Among5NoColour;4;5;0;ambiguity;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;;ER_01;2026-03-31T10:57:53.774Z
95;2Among5NoColour_Bin4_Sample6.mp4;2Among5NoColour;4;6;0;new_generation;0;0;0;1;0;1;1;1;1;1;0;0;1;0;0;0;0;0;7;0;2;5;0;;ER_01;2026-03-31T10:59:01.014Z
96;2Among5NoColour_Bin5_Sample1.mp4;2Among5NoColour;5;1;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;1;0;5;0;1;3;1;;ER_01;2026-03-31T10:59:43.052Z
97;2Among5NoColour_Bin5_Sample2.mp4;2Among5NoColour;5;2;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T11:01:00.696Z
98;2Among5NoColour_Bin5_Sample3.mp4;2Among5NoColour;5;3;0;new_generation;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;0;0;1;6;1;0;4;1;;ER_01;2026-03-31T11:01:37.772Z
99;2Among5NoColour_Bin5_Sample4.mp4;2Among5NoColour;5;4;0;new_generation;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T11:02:11.077Z
100;2Among5NoColour_Bin5_Sample5.mp4;2Among5NoColour;5;5;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;3;0;1;2;0;;ER_01;2026-03-31T11:02:30.335Z
101;2Among5NoColour_Bin5_Sample6.mp4;2Among5NoColour;5;6;0;new_generation;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T11:05:37.173Z
102;2Among5NoColour_Bin6_Sample1.mp4;2Among5NoColour;6;1;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;1;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T11:09:59.219Z
103;2Among5NoColour_Bin6_Sample2.mp4;2Among5NoColour;6;2;0;new_generation;0;0;1;1;0;0;1;0;1;1;0;0;1;0;0;0;0;0;6;1;1;4;0;;ER_01;2026-03-31T11:11:57.875Z
104;2Among5NoColour_Bin6_Sample3.mp4;2Among5NoColour;6;3;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T11:12:23.796Z
105;2Among5NoColour_Bin6_Sample4.mp4;2Among5NoColour;6;4;0;new_generation;0;0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;0;1;5;0;1;3;1;;ER_01;2026-03-31T11:12:57.123Z
106;2Among5NoColour_Bin6_Sample5.mp4;2Among5NoColour;6;5;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;4;0;1;3;0;;ER_01;2026-03-31T11:13:43.154Z
107;2Among5NoColour_Bin6_Sample6.mp4;2Among5NoColour;6;6;0;new_generation;0;0;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;0;5;0;1;4;0;;ER_01;2026-03-31T11:14:36.107Z
108;NoDistractors_Bin0_Sample1.mp4;NoDistractors;0;1;1;;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T11:16:09.104Z
109;NoDistractors_Bin0_Sample2.mp4;NoDistractors;0;2;1;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;;ER_01;2026-03-31T11:16:12.487Z
110;NoDistractors_Bin0_Sample3.mp4;NoDistractors;0;3;1;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;;ER_01;2026-03-31T11:16:25.368Z
111;NoDistractors_Bin0_Sample4.mp4;NoDistractors;0;4;1;;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;3;0;0;3;0;;ER_01;2026-03-31T11:16:39.648Z
112;NoDistractors_Bin0_Sample5.mp4;NoDistractors;0;5;1;;0;0;0;0;0;0;1;1;0;1;0;1;0;0;0;0;0;0;4;0;0;4;0;;ER_01;2026-03-31T11:16:54.396Z
113;NoDistractors_Bin0_Sample6.mp4;NoDistractors;0;6;1;;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;;ER_01;2026-03-31T11:17:05.680Z
