,trial_index,video_name,condition,bin,sample,success,failure_type,err_no_distractors,err_no_target,err_wrong_manip,err_new_target_id,err_new_target_unid,err_extra_distractors,err_font_change,err_rotation,err_movement,err_enlarge_target,err_enlarge_distractors,err_target_centre,err_circular_motion,err_merging,err_id_change_before,err_id_change_after,err_vanishing,fidelity_score_total,fidelity_omission,fidelity_numeric,fidelity_temporal,fidelity_physical_vanishing,notes,coder,timestamp,trial_index_DK,video_name_DK,condition_DK,bin_DK,sample_DK,success_DK,failure_type_DK,err_no_distractors_DK,err_no_target_DK,err_wrong_manip_DK,err_new_target_id_DK,err_new_target_unid_DK,err_extra_distractors_DK,err_font_change_DK,err_rotation_DK,err_movement_DK,err_enlarge_target_DK,err_enlarge_distractors_DK,err_target_centre_DK,err_circular_motion_DK,err_merging_DK,err_id_change_before_DK,err_id_change_after_DK,err_vanishing_DK,fidelity_score_total_DK,fidelity_omission_DK,fidelity_numeric_DK,fidelity_temporal_DK,fidelity_physical_vanishing_DK,notes_DK,coder_DK,timestamp_DK,trial_index_FR,video_name_FR,condition_FR,bin_FR,sample_FR,success_FR,failure_type_FR,err_no_distractors_FR,err_no_target_FR,err_wrong_manip_FR,err_new_target_id_FR,err_new_target_unid_FR,err_extra_distractors_FR,err_font_change_FR,err_rotation_FR,err_movement_FR,err_enlarge_target_FR,err_enlarge_distractors_FR,err_target_centre_FR,err_circular_motion_FR,err_merging_FR,err_id_change_before_FR,err_id_change_after_FR,err_vanishing_FR,fidelity_score_total_FR,fidelity_omission_FR,fidelity_numeric_FR,fidelity_temporal_FR,fidelity_physical_vanishing_FR,notes_FR,coder_FR,timestamp_FR
10,10,2Among5Colour_Bin2_Sample5.mp4,2Among5Colour,2,5,1,,0,0,0,0,0,1,1,1,2,1,0,0,0,0,0,0,1,7,0,1,5,1,,ER_01,2026-03-31T09:29:40.338Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11,2Among5Colour_Bin2_Sample6.mp4,2Among5Colour,2,6,0,new_generation,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,6,0,2,4,0,,ER_01,2026-03-31T09:30:25.267Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,12,2Among5Colour_Bin3_Sample1.mp4,2Among5Colour,3,1,0,ambiguity,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,0,1,6,0,1,4,1,,ER_01,2026-03-31T09:31:39.633Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,2Among5Colour_Bin3_Sample1.mp4,2Among5Colour,3.0,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,FR_01,2026-04-05T19:30:17.620Z
13,13,2Among5Colour_Bin3_Sample2.mp4,2Among5Colour,3,2,1,,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,,ER_01,2026-03-31T09:32:16.866Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,14,2Among5Colour_Bin3_Sample3.mp4,2Among5Colour,3,3,1,,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T09:32:55.200Z,3.0,2Among5Colour_Bin3_Sample3.mp4,2Among5Colour,3.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,DK_01,2026-04-02T15:17:31.689Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,2Among5Colour_Bin3_Sample4.mp4,2Among5Colour,3,4,0,ambiguity,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T09:36:18.568Z,4.0,2Among5Colour_Bin3_Sample4.mp4,2Among5Colour,3.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,,DK_01,2026-04-02T15:20:01.481Z,1.0,2Among5Colour_Bin3_Sample4.mp4,2Among5Colour,3.0,4.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,FR_01,2026-04-05T19:30:46.617Z
16,16,2Among5Colour_Bin3_Sample5.mp4,2Among5Colour,3,5,0,ambiguity,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,6,0,1,4,1,,ER_01,2026-03-31T09:37:55.968Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2Among5Colour_Bin3_Sample5.mp4,2Among5Colour,3.0,5.0,0.0,ambiguity,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,2.0,4.0,0.0,,FR_01,2026-04-05T19:31:09.933Z
17,17,2Among5Colour_Bin3_Sample6.mp4,2Among5Colour,3,6,0,new_generation,0,0,0,1,0,1,1,0,1,1,0,0,1,0,0,0,1,7,0,2,4,1,,ER_01,2026-03-31T09:41:00.268Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,18,2Among5Colour_Bin4_Sample1.mp4,2Among5Colour,4,1,1,,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:41:30.639Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,19,2Among5Colour_Bin4_Sample2.mp4,2Among5Colour,4,2,0,ambiguity,0,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T09:43:07.577Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2Among5Colour_Bin4_Sample2.mp4,2Among5Colour,4.0,2.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,FR_01,2026-04-05T19:31:33.715Z
20,20,2Among5Colour_Bin4_Sample3.mp4,2Among5Colour,4,3,0,new_generation,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T09:44:02.949Z,5.0,2Among5Colour_Bin4_Sample3.mp4,2Among5Colour,4.0,3.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,,DK_01,2026-04-02T15:21:45.946Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,21,2Among5Colour_Bin4_Sample4.mp4,2Among5Colour,4,4,0,ambiguity,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,5,0,0,5,0,,ER_01,2026-03-31T09:44:51.783Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,22,2Among5Colour_Bin4_Sample5.mp4,2Among5Colour,4,5,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,ER_01,2026-03-31T09:45:26.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,2Among5Colour_Bin4_Sample5.mp4,2Among5Colour,4.0,5.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,FR_01,2026-04-05T19:31:42.896Z
23,23,2Among5Colour_Bin4_Sample6.mp4,2Among5Colour,4,6,0,ambiguity,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:45:58.598Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,2Among5Colour_Bin4_Sample6.mp4,2Among5Colour,4.0,6.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,FR_01,2026-04-05T19:32:12.311Z
24,24,2Among5Colour_Bin5_Sample1.mp4,2Among5Colour,5,1,0,new_generation,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T09:48:51.404Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,2Among5Colour_Bin5_Sample2.mp4,2Among5Colour,5,2,0,ambiguity,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T09:49:22.181Z,6.0,2Among5Colour_Bin5_Sample2.mp4,2Among5Colour,5.0,2.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,,DK_01,2026-04-02T15:23:02.646Z,6.0,2Among5Colour_Bin5_Sample2.mp4,2Among5Colour,5.0,2.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,,FR_01,2026-04-05T19:32:33.745Z
26,26,2Among5Colour_Bin5_Sample3.mp4,2Among5Colour,5,3,1,,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:49:45.163Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,2Among5Colour_Bin5_Sample4.mp4,2Among5Colour,5,4,0,ambiguity,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:50:38.444Z,7.0,2Among5Colour_Bin5_Sample4.mp4,2Among5Colour,5.0,4.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,3.0,0.0,idk bro,DK_01,2026-04-02T15:25:24.760Z,7.0,2Among5Colour_Bin5_Sample4.mp4,2Among5Colour,5.0,4.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,,FR_01,2026-04-05T19:32:47.169Z
28,28,2Among5Colour_Bin5_Sample5.mp4,2Among5Colour,5,5,0,ambiguity,0,0,0,0,0,1,1,1,0,1,0,0,1,0,0,0,1,6,0,1,4,1,,ER_01,2026-03-31T09:53:20.196Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,2Among5Colour_Bin5_Sample5.mp4,2Among5Colour,5.0,5.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,,FR_01,2026-04-05T19:33:08.526Z
29,29,2Among5Colour_Bin5_Sample6.mp4,2Among5Colour,5,6,0,new_generation,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T09:53:41.964Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,30,2Among5Colour_Bin6_Sample1.mp4,2Among5Colour,6,1,0,ambiguity,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,6,0,0,6,0,,ER_01,2026-03-31T09:54:54.435Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2Among5Colour_Bin6_Sample1.mp4,2Among5Colour,6.0,1.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,zoom in on the scene ,FR_01,2026-04-05T19:33:30.208Z
31,31,2Among5Colour_Bin6_Sample2.mp4,2Among5Colour,6,2,1,,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T09:55:41.325Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,32,2Among5Colour_Bin6_Sample3.mp4,2Among5Colour,6,3,1,,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T09:56:16.490Z,8.0,2Among5Colour_Bin6_Sample3.mp4,2Among5Colour,6.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0,0.0,,DK_01,2026-04-02T15:26:25.376Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,33,2Among5Colour_Bin6_Sample4.mp4,2Among5Colour,6,4,0,ambiguity,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T09:57:12.234Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,2Among5Colour_Bin6_Sample4.mp4,2Among5Colour,6.0,4.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,FR_01,2026-04-05T19:33:39.405Z
34,34,2Among5Colour_Bin6_Sample5.mp4,2Among5Colour,6,5,0,ambiguity,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,0,0,3,0,,ER_01,2026-03-31T09:58:02.146Z,9.0,2Among5Colour_Bin6_Sample5.mp4,2Among5Colour,6.0,5.0,1.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,DK_01,2026-04-02T15:27:10.061Z,11.0,2Among5Colour_Bin6_Sample5.mp4,2Among5Colour,6.0,5.0,0.0,ambiguity,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,,FR_01,2026-04-05T19:34:00.555Z
35,35,2Among5Colour_Bin6_Sample6.mp4,2Among5Colour,6,6,1,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,,ER_01,2026-03-31T09:59:07.969Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,36,2Among5ConjRed_Bin1_Sample1.mp4,2Among5ConjRed,1,1,1,,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,5,0,0,5,0,,ER_01,2026-03-31T10:00:21.474Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,37,2Among5ConjRed_Bin1_Sample2.mp4,2Among5ConjRed,1,2,0,new_generation,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,4,1,2,1,0,,ER_01,2026-03-31T10:02:10.209Z,10.0,2Among5ConjRed_Bin1_Sample2.mp4,2Among5ConjRed,1.0,2.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.0,1.0,1.0,,DK_01,2026-04-02T15:28:48.832Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,38,2Among5ConjRed_Bin1_Sample3.mp4,2Among5ConjRed,1,3,1,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,ER_01,2026-03-31T10:02:55.096Z,11.0,2Among5ConjRed_Bin1_Sample3.mp4,2Among5ConjRed,1.0,3.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,,DK_01,2026-04-02T15:29:31.826Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,39,2Among5ConjRed_Bin1_Sample4.mp4,2Among5ConjRed,1,4,1,,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0,6,0,1,5,0,,ER_01,2026-03-31T10:03:52.538Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,40,2Among5ConjRed_Bin1_Sample5.mp4,2Among5ConjRed,1,5,1,,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,4,0,1,3,0,,ER_01,2026-03-31T10:05:23.144Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,41,2Among5ConjRed_Bin1_Sample6.mp4,2Among5ConjRed,1,6,1,,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,4,0,0,4,0,,ER_01,2026-03-31T10:06:11.252Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,42,2Among5ConjRed_Bin2_Sample1.mp4,2Among5ConjRed,2,1,0,ambiguity,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,5,0,1,4,0,,ER_01,2026-03-31T10:07:36.895Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,2Among5ConjRed_Bin2_Sample1.mp4,2Among5ConjRed,2.0,1.0,0.0,ambiguity,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,2.0,0.0,,FR_01,2026-04-05T19:35:52.531Z
43,43,2Among5ConjRed_Bin2_Sample2.mp4,2Among5ConjRed,2,2,0,new_generation,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,7,0,3,4,0,,ER_01,2026-03-31T10:08:40.808Z,12.0,2Among5ConjRed_Bin2_Sample2.mp4,2Among5ConjRed,2.0,2.0,0.0,new_generation,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:31:28.150Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,44,2Among5ConjRed_Bin2_Sample3.mp4,2Among5ConjRed,2,3,0,new_generation,0,0,0,1,0,0,1,1,1,1,0,1,1,0,0,0,0,7,0,1,6,0,circled Blue number,ER_01,2026-03-31T10:10:23.129Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,45,2Among5ConjRed_Bin2_Sample4.mp4,2Among5ConjRed,2,4,0,new_generation,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0,1,8,0,3,4,1,,ER_01,2026-03-31T10:12:17.077Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,46,2Among5ConjRed_Bin2_Sample5.mp4,2Among5ConjRed,2,5,0,new_generation,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,5,0,2,3,0,,ER_01,2026-03-31T10:12:51.484Z,13.0,2Among5ConjRed_Bin2_Sample5.mp4,2Among5ConjRed,2.0,5.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,,DK_01,2026-04-02T15:33:00.958Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,47,2Among5ConjRed_Bin2_Sample6.mp4,2Among5ConjRed,2,6,0,new_generation,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,9,0,3,6,0,,ER_01,2026-03-31T10:14:07.286Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,48,2Among5ConjRed_Bin3_Sample1.mp4,2Among5ConjRed,3,1,0,new_generation,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,7,0,2,4,1,,ER_01,2026-03-31T10:14:56.439Z,14.0,2Among5ConjRed_Bin3_Sample1.mp4,2Among5ConjRed,3.0,1.0,0.0,new_generation,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,2.0,3.0,0.0,,DK_01,2026-04-02T15:34:14.747Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
